Feature,Importance
Heavy Atoms,0.8420474211687524
Aromatic Rings,0.050554503374932856
Molecular Weight,0.044251227634077885
TPSA,0.025111312835421805
LogP,0.01356165268315374
Rotatable Bonds,0.011364118739143857
HBD,0.007757355077034865
HBA,0.005352408487482711
