Ligand Name,CID,SMILES,Molecular Weight,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms
"2-[(1S,2S)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",7251179,CC/C=C\C[C@@H]1C(=O)CC[C@H]1CC(=O)[O-],209.26,1.08,57.2,3,0,5,0,15
"2-[(1R,2S)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",7251182,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(=O)[O-],209.26,1.08,57.2,3,0,5,0,15
2-[2-[(Z)-5-hydroxypent-2-enyl]-3-oxocyclopentyl]acetate,126843507,O=C([O-])C[C@@H]1CCC(=O)[C@H]1C/C=C\CCO,225.26,0.05,77.43,4,1,6,0,16
"2-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzoic acid",151505,O=C(O)c1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,300.26,-1.44,136.68,7,5,4,1,21
"2-(4,8-dimethylnonyl)-6-hydroxybenzoic acid",12071638,CC(C)CCC[C@H](C)CCCc1cccc(O)c1C(=O)O,292.42,4.88,57.53,2,2,9,1,21
2-[(2-hydroxyphenyl)methoxy]benzoic acid,21864615,O=C(O)c1ccccc1OCc1ccccc1O,244.25,2.67,66.76,3,2,4,2,18
3-propan-2-yl-2-propan-2-yloxybenzoic acid,19598963,CC(C)Oc1c(C(=O)O)cccc1C(C)C,222.28,3.3,46.53,2,1,4,1,16
"5-(1,3-benzothiazol-2-yldiazenyl)-2-hydroxybenzoic acid",145925915,O=C(O)c1cc(/N=N/c2nc3ccccc3s2)ccc1O,299.31,4.12,95.14,6,2,3,3,21
"2,3,4,5-tetradeuterio-6-deuteriooxybenzoic acid",155803953,[2H]Oc1c([2H])c([2H])c([2H])c([2H])c1C(=O)O,143.15,1.09,57.53,2,2,2,1,10
"deuterio 2,3,4,5-tetradeuterio-6-deuteriooxybenzoate",71309006,[2H]OC(=O)c1c([2H])c([2H])c([2H])c([2H])c1O[2H],144.16,1.09,57.53,3,2,2,1,10
2-hydroxy-4-(2-propan-2-ylidenehydrazinyl)benzoic acid,121226585,CC(C)=NNc1ccc(C(=O)O)c(O)c1,208.22,1.9,81.92,4,3,3,1,15
"6,6-dihydroxycyclohexa-2,4-diene-1-carboxylic acid",17862778,O=C(O)[C@H]1C=CC=CC1(O)O,156.14,-0.51,77.76,3,3,1,0,11
methyl 2-hydroxy-4-(oxiran-2-ylmethoxy)benzoate,12611335,COC(=O)c1ccc(OC[C@@H]2CO2)cc1O,224.21,0.96,68.29,5,1,4,1,16
"deuterio-(2,3,4,5-tetradeuterio-6-deuteriooxyphenyl)methanone",49849878,[2H]Oc1c([2H])c([2H])c([2H])c([2H])c1C([2H])=O,128.16,1.2,37.3,2,1,2,1,9
prop-2-ynyl 2-hydroxybenzoate,390924,C#CCOC(=O)c1ccccc1O,176.17,1.18,46.53,3,1,2,1,13
"methyl 2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",5281929,CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,224.3,2.5,43.37,3,0,5,0,16
3-methyl-2-(3-methylbutyl)cyclopent-2-en-1-one,573652,CC1=C(CCC(C)C)C(=O)CC1,166.26,3.1,17.07,1,0,3,0,12
3-methyl-2-pent-2-enylcyclopent-2-en-1-one,10261,CCC=CCC1=C(C)CCC1=O,164.25,3.02,17.07,1,0,3,0,12
N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,232.28,1.86,54.12,2,2,4,2,17
N-[2-(1-acetyl-5-methoxyindol-3-yl)ethyl]acetamide,15382325,COc1ccc2c(c1)c(CCNC(C)=O)cn2C(C)=O,274.32,1.99,60.33,3,1,4,2,20
"2,2,2-trideuterio-N-[1,1,2,2-tetradeuterio-2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide",91244073,[2H]C([2H])([2H])C(=O)NC([2H])([2H])C([2H])([2H])c1c[nH]c2ccc(OC)cc12,239.33,1.86,54.12,2,2,4,2,17
"N-[1,1,2,2-tetradeuterio-2-(6-hydroxy-5-methoxy-1H-indol-3-yl)ethyl]acetamide",71749111,[2H]C([2H])(NC(C)=O)C([2H])([2H])c1c[nH]c2cc(O)c(OC)cc12,252.31,1.56,74.35,3,3,4,2,18
N-[2-(7-methoxyphthalazin-1-yl)ethyl]butanamide,162661094,CCCC(=O)NCCc1nncc2ccc(OC)cc12,273.34,2.1,64.11,4,1,6,2,20
N-[2-(5-methoxy-1-sulfanylindol-3-yl)ethyl]acetamide,154733091,COc1ccc2c(c1)c(CCNC(C)=O)cn2S,264.35,2.02,43.26,3,2,4,2,18
"propane-1,2,3-triol",753,OCC(O)CO,92.09,-1.67,60.69,3,3,2,0,6
"N-[2-(5,6-dimethoxy-1H-indol-3-yl)ethyl]acetamide",189748,COc1cc2[nH]cc(CCNC(C)=O)c2cc1OC,262.31,1.86,63.35,3,2,5,2,19
N-[2-(6-methoxy-1H-indol-3-yl)ethyl]acetamide,1785786,COc1ccc2c(CCNC(C)=O)c[nH]c2c1,232.28,1.86,54.12,2,2,4,2,17
"1-(7-methoxy-2,4-dihydro-1H-pyrrolo[2,3-b]indol-3-yl)ethanone",129373222,COc1ccc2[nH]c3c(c2c1)CCN3C(C)=O,230.27,2.09,45.33,2,1,1,2,17
