Protein,Rank,Ligand_File,CID,Best_Affinity
AF-P92979-F1-model_v6,57,107 Conformer3D_COMPOUND_CID_338_out.pdbqt,338,-6.191
AF-P92979-F1-model_v6,58,42 Conformer3D_COMPOUND_CID_71309006_out.pdbqt,71309006,-6.185
AF-P92979-F1-model_v6,59,47 Conformer3D_COMPOUND_CID_390924_out.pdbqt,390924,-6.183
AF-P92979-F1-model_v6,60,21 Conformer3D_COMPOUND_CID_1994214_out.pdbqt,1994214,-6.151
AF-P92979-F1-model_v6,61,12 Conformer3D_COMPOUND_CID_137347899_out.pdbqt,137347899,-6.08
AF-P92979-F1-model_v6,62,71 Conformer3D_COMPOUND_CID_5231_out.pdbqt,5231,-5.979
AF-P92979-F1-model_v6,63,120 Conformer3D_COMPOUND_CID_12243705_out.pdbqt,12243705,-5.957
AF-P92979-F1-model_v6,64,116 Conformer3D_COMPOUND_CID_5147_out.pdbqt,5147,-5.871
AF-P92979-F1-model_v6,65,46 Conformer3D_COMPOUND_CID_49849878_out.pdbqt,49849878,-5.834
AF-P92979-F1-model_v6,66,94 Conformer3D_COMPOUND_CID_978_out.pdbqt,978,-5.834
AF-P92979-F1-model_v6,67,68 Conformer3D_COMPOUND_CID_135503978_out.pdbqt,135503978,-5.785
AF-P92979-F1-model_v6,68,81 Conformer3D_COMPOUND_CID_85065_out.pdbqt,85065,-5.757
AF-P92979-F1-model_v6,69,102 Conformer3D_COMPOUND_CID_2230_out.pdbqt,2230,-5.755
AF-P92979-F1-model_v6,70,118 Conformer3D_COMPOUND_CID_15070_out.pdbqt,15070,-5.754
AF-P92979-F1-model_v6,71,49 Conformer3D_COMPOUND_CID_573652_out.pdbqt,573652,-5.717
AF-P92979-F1-model_v6,72,2 Conformer3D_COMPOUND_CID_15155595_out.pdbqt,15155595,-5.692
AF-P92979-F1-model_v6,73,50 Conformer3D_COMPOUND_CID_10261_out.pdbqt,10261,-5.69
AF-P92979-F1-model_v6,74,115 Conformer3D_COMPOUND_CID_936_out.pdbqt,936,-5.63
AF-P92979-F1-model_v6,75,8 Conformer3D_COMPOUND_CID_71380131_out.pdbqt,71380131,-5.625
AF-P92979-F1-model_v6,76,103 Conformer3D_COMPOUND_CID_87310_out.pdbqt,87310,-5.565
AF-P92979-F1-model_v6,77,6 Conformer3D_COMPOUND_CID_71380130_out.pdbqt,71380130,-5.526
AF-P92979-F1-model_v6,78,72 Conformer3D_COMPOUND_CID_9605288_out.pdbqt,9605288,-5.507
AF-P92979-F1-model_v6,79,85 Conformer3D_COMPOUND_CID_56633199_out.pdbqt,56633199,-5.502
AF-P92979-F1-model_v6,80,119 Conformer3D_COMPOUND_CID_938_out.pdbqt,938,-5.491
AF-P92979-F1-model_v6,81,113 Conformer3D_COMPOUND_CID_996_out.pdbqt,996,-5.44
AF-P92979-F1-model_v6,82,20 Conformer3D_COMPOUND_CID_15155596_out.pdbqt,15155596,-5.431
AF-P92979-F1-model_v6,83,5 Conformer3D_COMPOUND_CID_71383291_out.pdbqt,71383291,-5.214
AF-P92979-F1-model_v6,84,66 Conformer3D_COMPOUND_CID_135406888_out.pdbqt,135406888,-4.947
AF-P92979-F1-model_v6,85,64 Conformer3D_COMPOUND_CID_6331148_out.pdbqt,6331148,-4.891
AF-P92979-F1-model_v6,86,73 Conformer3D_COMPOUND_CID_1269845_out.pdbqt,1269845,-4.877
AF-P92979-F1-model_v6,87,69 Conformer3D_COMPOUND_CID_6331148 (1)_out.pdbqt,6331148,-4.872
AF-P92979-F1-model_v6,88,93 Conformer3D_COMPOUND_CID_655_out.pdbqt,655,-4.511
AF-P92979-F1-model_v6,89,84 Conformer3D_COMPOUND_CID_53438496_out.pdbqt,53438496,-4.416
AF-P92979-F1-model_v6,90,18 Conformer3D_COMPOUND_CID_82267_out.pdbqt,82267,-4.377
AF-P92979-F1-model_v6,91,101 Conformer3D_COMPOUND_CID_248_out.pdbqt,248,-4.307
AF-P92979-F1-model_v6,92,22 Conformer3D_COMPOUND_CID_1117_out.pdbqt,1117,-4.282
AF-P92979-F1-model_v6,93,17 Conformer3D_COMPOUND_CID_139618_out.pdbqt,139618,-4.272
AF-P92979-F1-model_v6,94,100 Conformer3D_COMPOUND_CID_247_out.pdbqt,247,-4.257
AF-P92979-F1-model_v6,95,99 Conformer3D_COMPOUND_CID_1118_out.pdbqt,1118,-4.243
AF-P92979-F1-model_v6,96,79 Conformer3D_COMPOUND_CID_24955_out.pdbqt,24955,-4.201
AF-P92979-F1-model_v6,97,92 Conformer3D_COMPOUND_CID_6405_out.pdbqt,6405,-4.181
AF-P92979-F1-model_v6,98,57 Conformer3D_COMPOUND_CID_753_out.pdbqt,753,-4.114
AF-P92979-F1-model_v6,99,3 Conformer3D_COMPOUND_CID_77385_out.pdbqt,77385,-4.091
AF-P92979-F1-model_v6,100,95 Conformer3D_COMPOUND_CID_25581_out.pdbqt,25581,-3.944
AF-P92979-F1-model_v6,101,61 Conformer3D_COMPOUND_CID_13039058_out.pdbqt,13039058,-3.933
AF-P92979-F1-model_v6,102,75 Conformer3D_COMPOUND_CID_108022_out.pdbqt,108022,-3.855
AF-P92979-F1-model_v6,103,87 Conformer3D_COMPOUND_CID_6386_out.pdbqt,6386,-3.806
AF-P92979-F1-model_v6,104,76 Conformer3D_COMPOUND_CID_2146 (1)_out.pdbqt,2146,-3.759
AF-P92979-F1-model_v6,105,90 Conformer3D_COMPOUND_CID_7919_out.pdbqt,7919,-3.741
AF-P92979-F1-model_v6,106,114 Conformer3D_COMPOUND_CID_61844_out.pdbqt,61844,-3.723
AF-P92979-F1-model_v6,107,70 Conformer3D_COMPOUND_CID_6857661_out.pdbqt,6857661,-3.689
AF-P92979-F1-model_v6,108,78 Conformer3D_COMPOUND_CID_8028_out.pdbqt,8028,-3.586
AF-P92979-F1-model_v6,109,13 Conformer3D_COMPOUND_CID_9964064_out.pdbqt,9964064,-3.558
AF-P92979-F1-model_v6,110,65 Conformer3D_COMPOUND_CID_8021_out.pdbqt,8021,-3.437
AF-P92979-F1-model_v6,111,80 Conformer3D_COMPOUND_CID_176 (1)_out.pdbqt,176,-3.388
AF-P92979-F1-model_v6,112,77 Conformer3D_COMPOUND_CID_176_out.pdbqt,176,-3.384
AF-P92979-F1-model_v6,113,98 Conformer3D_COMPOUND_CID_176 (2)_out.pdbqt,176,-3.358
AF-P92979-F1-model_v6,114,88 Conformer3D_COMPOUND_CID_8823_out.pdbqt,8823,-3.286
AF-P92979-F1-model_v6,115,96 Conformer3D_COMPOUND_CID_6599_out.pdbqt,6599,-2.897
AF-P92979-F1-model_v6,116,74 Conformer3D_COMPOUND_CID_11389353_out.pdbqt,11389353,-2.772
AF-P92979-F1-model_v6,117,97 Conformer3D_COMPOUND_CID_702_out.pdbqt,702,-2.77
AF-P92979-F1-model_v6,118,62 Conformer3D_COMPOUND_CID_945_out.pdbqt,945,-2.675
AF-P92979-F1-model_v6,119,67 Conformer3D_COMPOUND_CID_84878_out.pdbqt,84878,-2.194
